Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Year,Month,Avg Price(CP+HP+LP),VWAP,Profit/Loss Percentage,Day_Perc_Change,trend
2019-06-17,1886.03,"1,876.50",1895.69,1875.45,2630000.0,2019,6,1885.7233333333334,1885.7233333333334,0.00875020725582584,-0.008067866853900041,Slight or no change
2019-06-14,1869.67,"1,864.00",1876.0,1859.0,2850000.0,2019,6,1868.2233333333334,1868.2233333333334,-0.0003368443565202811,-0.008674305286766382,Slight or no change
2019-06-13,1870.3,"1,866.72",1883.09,1862.22,2800000.0,2019,6,1871.87,1871.87,0.008074078865101449,0.00033695785887344343,Slight or no change
2019-06-12,1855.32,"1,853.98",1865.0,1844.38,2680000.0,2019,6,1854.8999999999999,1854.9,-0.004496431829157111,-0.008009410255039318,Slight or no change
2019-06-11,1863.7,"1,883.25",1893.7,1858.0,4040000.0,2019,6,1871.8,1871.8,0.0016499787706314186,0.004516741047366546,Slight or no change
2019-06-10,1860.63,"1,822.00",1884.87,1818.0,5370000.0,2019,6,1854.5,1854.5,0.03137420109421691,-0.0016472608252400267,Slight or no change
2019-06-07,1804.03,"1,763.70",1806.25,1759.49,4810000.0,2019,6,1789.9233333333332,1789.9233333333332,0.028312319022321574,-0.03041980404486655,Slight or no change
2019-06-06,1754.36,"1,737.71",1760.0,1726.13,3690000.0,2019,6,1746.83,1746.83,0.009122807017543802,-0.027532801560949727,Slight or no change
2019-06-05,1738.5,"1,749.60",1752.0,1715.25,4240000.0,2019,6,1735.25,1735.25,0.005168944702698984,-0.009040333796940137,Slight or no change
2019-06-04,1729.56,"1,699.24",1730.82,1680.89,5680000.0,2019,6,1713.756666666667,1713.756666666667,0.021781897453166197,-0.0051423641069887616,Slight or no change
2019-06-03,1692.69,"1,760.01",1766.29,1672.0,9100000.0,2019,6,1710.3266666666666,1710.3266666666666,-0.046409437374300665,-0.0213175605356275,Slight or no change
2019-05-31,1775.07,"1,790.01",1795.59,1772.7,4620000.0,2019,5,1781.12,1781.12,-0.02271075581395349,0.048668096343689626,Slight or no change
2019-05-30,1816.32,"1,825.49",1829.47,1807.83,3150000.0,2019,5,1817.8733333333332,1817.8733333333332,-0.0015776252068228818,0.02323852017103545,Slight or no change
2019-05-29,1819.19,"1,823.12",1830.0,1807.53,4280000.0,2019,5,1818.9066666666668,1818.9066666666668,-0.009387779550541,0.001580118040873879,Slight or no change
2019-05-28,1836.43,"1,832.75",1849.27,1827.35,3200000.0,2019,5,1837.6833333333332,1837.6833333333332,0.00721227677592037,0.009476745144817222,Slight or no change
2019-05-24,1823.28,"1,835.89",1841.76,1817.85,3370000.0,2019,5,1827.6299999999999,1827.63,0.004296384427258881,-0.007160632313782722,Slight or no change
2019-05-23,1815.48,"1,836.59",1844.0,1804.2,4420000.0,2019,5,1821.2266666666667,1821.2266666666667,-0.023767529897616817,-0.004278004475450792,Slight or no change
2019-05-22,1859.68,"1,851.78",1871.48,1851.0,2940000.0,2019,5,1860.72,1860.72,0.0011628407769499558,0.024346178421133846,Slight or no change
2019-05-21,1857.52,"1,874.79",1879.0,1846.0,4010000.0,2019,5,1860.8400000000001,1860.8400000000001,-0.0007800018289698303,-0.0011614901488428142,Slight or no change
2019-05-20,1858.97,"1,852.69",1867.78,1835.54,3800000.0,2019,5,1854.0966666666666,1854.0966666666666,-0.005366506153022993,0.00078061070674873,Slight or no change
2019-05-17,1869.0,"1,893.05",1910.53,1867.33,4740000.0,2019,5,1882.2866666666666,1882.2866666666666,-0.020219441488385715,0.00539546092728771,Slight or no change
2019-05-16,1907.57,"1,885.94",1917.51,1882.29,4710000.0,2019,5,1902.4566666666667,1902.4566666666667,0.019463966010207542,0.02063670411985008,Slight or no change
2019-05-15,1871.15,"1,827.95",1874.43,1823.0,4690000.0,2019,5,1856.1933333333334,1856.1933333333334,0.01686303067191281,-0.019092353098444592,Slight or no change
2019-05-14,1840.12,"1,839.50",1852.44,1815.75,4630000.0,2019,5,1836.1033333333332,1836.1033333333332,0.00956832795663519,-0.016583384549608615,Slight or no change
2019-05-13,1822.68,"1,836.56",1846.54,1818.0,5780000.0,2019,5,1829.0733333333335,1829.0733333333335,-0.035608842421612906,-0.009477642762428462,Slight or no change
2019-05-10,1889.98,"1,898.00",1903.79,1856.0,5720000.0,2019,5,1883.256666666667,1883.256666666667,-0.0052056193318489544,0.036923650887703774,Slight or no change
2019-05-09,1899.87,"1,900.00",1909.4,1876.0,5310000.0,2019,5,1895.0900000000001,1895.09,-0.009333757437023256,0.005232859606979945,Slight or no change
2019-05-08,1917.77,"1,918.87",1935.37,1910.0,4080000.0,2019,5,1921.0466666666664,1921.0466666666664,-0.0016814159292035493,0.009421697274023977,Slight or no change
2019-05-07,1921.0,"1,939.99",1949.1,1903.38,5900000.0,2019,5,1924.493333333333,1924.493333333333,-0.015149573197303302,0.0016842478503678038,Slight or no change
2019-05-06,1950.55,"1,917.98",1959.0,1910.5,5420000.0,2019,5,1940.0166666666667,1940.0166666666669,-0.006068913506517372,0.015382613222280073,Slight or no change
2019-05-03,1962.46,"1,949.00",1964.4,1936.0,6380000.0,2019,5,1954.2866666666669,1954.2866666666669,0.0324281099735904,0.006105970110994452,Slight or no change
2019-05-02,1900.82,"1,913.33",1921.55,1881.87,3960000.0,2019,5,1901.4133333333332,1901.4133333333332,-0.005597639574788674,-0.031409557392252596,Slight or no change
2019-05-01,1911.52,"1,933.09",1943.64,1910.55,3120000.0,2019,5,1921.9033333333334,1921.9033333333334,-0.007786059838465212,0.005629149524941868,Slight or no change
2019-04-30,1926.52,"1,930.10",1935.71,1906.95,3510000.0,2019,4,1923.0600000000002,1923.0600000000002,-0.006144147583353581,0.007847158282414002,Slight or no change
2019-04-29,1938.43,"1,949.00",1956.34,1934.09,4019999.9999999995,2019,4,1942.9533333333331,1942.9533333333331,-0.006254389607460177,0.006182131511741407,Slight or no change
2019-04-26,1950.63,"1,929.00",1951.0,1898.0,8430000.0,2019,4,1933.21,1933.21,0.02543303982126435,0.006293753192016194,Slight or no change
2019-04-25,1902.25,"1,917.00",1922.45,1900.31,6100000.0,2019,4,1908.3366666666668,1908.3366666666668,0.0002629157355067701,-0.024802243377780586,Slight or no change
2019-04-24,1901.75,"1,925.00",1929.69,1898.16,3680000.0,2019,4,1909.8666666666668,1909.8666666666668,-0.011446274762575558,-0.0002628466289920084,Slight or no change
2019-04-23,1923.77,"1,891.20",1929.26,1889.58,4640000.0,2019,4,1914.2033333333331,1914.2033333333331,0.019318500935193498,0.011578808991718148,Slight or no change
2019-04-22,1887.31,"1,855.40",1888.42,1845.64,3370000.0,2019,4,1873.79,1873.79,0.013761689647578217,-0.01895236956600843,Slight or no change
2019-04-18,1861.69,"1,868.79",1870.82,1859.48,2750000.0,2019,4,1863.9966666666667,1863.9966666666664,-0.0016784461771108643,-0.013574876411400316,Slight or no change
2019-04-17,1864.82,"1,872.99",1876.47,1860.44,2890000.0,2019,4,1867.243333333333,1867.243333333333,0.0009554276880796831,0.001681268095117705,Slight or no change
